iter	RMSE
0	80537.39881
1	78168.79736
2	76181.8273
3	73880.93123
4	71622.36555
5	69537.06039
6	67667.51504
7	65869.90827
8	64140.18366
9	62329.76611
10	60670.75177
11	59021.03041
12	57605.35104
13	56140.00511
14	54870.11649
15	53485.76717
16	52434.23321
17	51025.30507
18	49917.63933
19	48732.30236
20	47553.86972
21	46558.71903
22	45660.6688
23	44736.91647
24	43877.64067
25	42971.88334
26	42096.01761
27	41394.20286
28	40511.23008
29	39692.28976
30	38992.09438
31	38274.35646
32	37613.28204
33	36872.35381
34	36137.49291
35	35524.37471
36	34958.54306
37	34549.71397
38	33861.44983
39	33245.67792
40	32536.88241
41	31994.81105
42	31419.32047
43	30899.98684
44	30388.20692
45	30008.13008
46	29558.757
47	29131.54435
48	28780.29524
49	28390.98129
50	27961.13528
51	27634.1193
52	27243.77651
53	26900.2649
54	26601.16557
55	26353.99047
56	26039.34055
57	25720.17681
58	25392.21834
59	25298.64331
60	24925.09482
61	24807.11826
62	24557.07188
63	24314.69113
64	24064.64241
65	23826.5767
66	23750.75359
67	23487.78888
68	23260.07193
69	23082.95216
70	22793.17691
71	22580.4591
72	22323.46152
73	22188.44187
74	22078.25831
75	21883.84627
76	21715.73287
77	21598.7663
78	21516.41871
79	21307.73798
80	21104.36084
81	20955.26293
82	20913.36129
83	20761.21171
84	20606.43291
85	20471.56621
86	20390.06962
87	20248.5604
88	20179.05776
89	20111.84289
90	19951.99392
91	19900.8823
92	19794.05932
93	19661.23384
94	19571.1336
95	19351.62893
96	19174.93372
97	19084.81353
98	18972.18905
99	18764.17534
100	18690.6041
101	18632.49264
102	18526.79074
103	18328.12767
104	18269.80221
105	18131.09158
106	18085.53909
107	18012.24244
108	17894.45278
109	17857.34328
110	17787.54708
111	17673.6043
112	17616.74696
113	17491.59443
114	17329.09593
115	17196.55777
116	17120.42175
117	17071.03871
118	16972.83557
119	16914.19553
120	16858.20789
121	16758.38079
122	16717.26927
123	16547.41558
124	16507.86513
125	16415.6845
126	16302.90131
127	16247.19963
128	16093.3666
129	15999.50115
130	15946.77075
131	15875.92147
132	15770.89811
133	15734.33596
134	15623.06276
135	15590.50951
136	15473.68819
137	15349.18828
138	15236.12161
139	15105.51168
140	15067.07014
141	15032.83546
142	14941.08204
143	14908.26971
144	14792.97708
145	14706.77197
146	14621.01995
147	14493.79353
148	14441.79549
149	14402.75922
150	14359.27987
151	14328.71276
152	14285.38748
153	14217.76474
154	14105.07005
155	13996.89193
156	13966.07113
157	13936.23798
158	13842.45071
159	13739.03924
160	13619.56444
161	13521.39632
162	13426.00817
163	13329.13696
164	13265.5214
165	13239.2992
166	13154.2197
167	13057.90523
168	13033.1723
169	12959.77974
170	12889.82682
171	12813.4439
172	12784.78733
173	12722.20721
174	12697.32633
175	12634.28943
176	12558.57693
177	12444.41294
178	12347.32829
179	12282.88791
180	12209.9936
181	12165.77968
182	12090.17017
183	12067.35805
184	12045.17253
185	11958.73894
186	11902.7403
187	11816.87032
188	11755.81945
189	11685.17697
190	11638.85179
191	11616.24507
192	11546.78867
193	11459.65243
194	11425.56684
195	11341.06737
196	11268.59472
197	11186.82668
198	11139.78115
199	11052.93825
200	10985.24665
201	10956.81411
202	10939.0885
203	10914.59451
204	10870.52174
205	10798.71468
206	10742.33723
207	10676.7027
208	10633.67929
209	10615.73349
210	10550.0723
211	10534.25381
212	10490.92089
213	10417.01278
214	10350.35115
215	10291.73127
216	10232.45716
217	10173.71151
218	10159.56465
219	10098.47792
220	10084.86006
221	10050.27421
222	9969.848072
223	9905.421077
224	9858.225387
225	9780.135167
226	9767.81308
227	9753.185006
228	9717.827222
229	9701.280287
230	9656.759518
231	9629.553937
232	9577.647611
233	9518.966901
234	9494.477622
235	9439.310087
236	9426.580454
237	9388.766602
238	9360.530073
239	9349.62614
240	9337.051546
241	9312.230366
242	9300.111163
243	9249.984838
244	9222.420239
245	9210.813371
246	9201.285991
247	9190.233298
248	9132.27954
249	9052.513549
250	9039.926252
251	8991.70652
252	8975.750659
253	8921.342832
254	8864.701795
255	8851.390236
256	8821.633937
257	8798.276527
258	8772.618192
259	8722.989538
260	8669.004393
261	8619.225341
262	8601.076933
263	8591.272968
264	8573.778216
265	8548.771231
266	8482.35366
267	8468.923261
268	8455.841163
269	8399.824644
270	8331.538418
271	8272.321607
272	8239.431548
273	8199.085092
274	8175.508971
275	8129.184049
276	8120.544816
277	8110.467443
278	8087.825317
279	8028.639393
280	7991.311114
281	7984.387869
282	7924.424104
283	7916.805004
284	7899.867452
285	7869.680582
286	7830.736059
