iter	Passed	Remaining
0	2	2624
1	4	2426
2	7	2368
3	9	2331
4	11	2301
5	14	2357
6	16	2344
7	18	2295
8	20	2253
9	22	2251
10	24	2239
11	26	2219
12	29	2202
13	31	2193
14	33	2200
15	35	2198
16	37	2185
17	39	2172
18	41	2168
19	44	2174
20	46	2162
21	48	2149
22	50	2136
23	52	2146
24	54	2140
25	57	2135
26	58	2125
27	60	2085
28	62	2090
29	64	2085
30	66	2077
31	68	2074
32	70	2077
33	72	2074
34	74	2067
35	76	2060
36	78	2055
37	81	2055
38	83	2060
39	85	2054
40	87	2050
41	89	2046
42	91	2041
43	93	2035
44	95	2029
45	97	2023
46	99	2019
47	101	2017
48	103	2013
49	105	2008
50	107	2003
51	109	2002
52	111	1997
53	113	1993
54	115	1988
55	117	1984
56	119	1982
57	121	1977
58	123	1973
59	125	1969
60	127	1969
61	129	1966
62	131	1962
63	133	1959
64	135	1954
65	137	1950
66	139	1948
67	141	1944
68	143	1941
69	146	1941
70	148	1940
71	150	1939
72	152	1941
73	155	1939
74	156	1935
75	159	1936
76	161	1935
77	163	1931
78	165	1928
79	167	1926
80	169	1925
81	171	1924
82	172	1909
83	174	1905
84	176	1902
85	178	1901
86	180	1898
87	182	1896
88	184	1892
89	187	1891
90	189	1889
91	191	1887
92	193	1886
93	195	1883
94	197	1883
95	199	1882
96	201	1879
97	203	1876
98	205	1873
99	207	1871
100	209	1867
101	211	1864
102	213	1861
103	215	1859
104	217	1857
105	219	1855
106	221	1852
107	223	1848
108	225	1845
109	227	1842
110	229	1839
111	231	1836
112	233	1834
113	235	1832
114	237	1830
115	239	1828
116	241	1825
117	243	1822
118	245	1820
119	255	1875
120	257	1871
121	259	1868
122	261	1865
123	263	1863
124	266	1862
125	268	1859
126	270	1856
127	272	1853
128	274	1850
129	275	1847
130	277	1843
131	279	1840
132	281	1837
133	283	1834
134	286	1832
135	287	1829
136	289	1826
137	292	1824
138	294	1823
139	296	1821
140	298	1819
141	300	1816
142	302	1812
143	304	1810
144	306	1808
145	308	1805
146	310	1802
147	312	1800
148	314	1797
149	316	1794
150	318	1791
151	320	1788
152	322	1785
153	324	1782
154	326	1780
155	328	1776
156	330	1773
157	332	1770
158	334	1769
159	336	1766
160	338	1763
161	340	1762
162	343	1761
163	345	1759
164	347	1756
165	349	1753
166	350	1750
167	353	1748
168	354	1745
169	356	1742
170	358	1739
171	361	1738
172	363	1736
173	365	1734
174	367	1731
175	369	1728
176	371	1725
177	373	1724
178	375	1721
179	377	1718
180	379	1716
181	381	1713
182	383	1711
183	385	1708
184	387	1705
185	389	1703
